,"('D', '_Time/us')","('D', '_Amplitude/mV')"
0,0.0,-20.178383680624133
1,0.020000000000003196,19.85026160312629
2,0.04000000000000639,39.79226927586518
3,0.06000000000000959,-40.13187955712401
4,0.08000000000001278,-20.226275072738165
5,0.10000000000001598,19.861083558674103
6,0.12000000000001917,-20.216272069161867
7,0.14000000000002238,-20.192345975286134
8,0.16000000000002557,-0.15294157031660105
9,0.18000000000002878,-0.31805856768717194
10,0.20000000000003196,-20.0122091988498
11,0.22000000000003517,-0.5336436640698333
12,0.24000000000003835,40.21259555390684
13,0.26000000000004153,-20.829956849716705
14,0.28000000000004477,40.49393763236692
15,0.30000000000004795,18.840172795572816
16,0.32000000000005113,-19.232187093634174
17,0.34000000000005437,58.552919149692706
18,0.36000000000005755,0.9543196939729233
19,0.38000000000006073,18.383380486617092
20,0.4000000000000639,-39.006908722901294
21,0.42000000000006715,-1.629663681348898
22,0.44000000000007033,0.8724645698648016
23,0.4600000000000735,18.49818192823131
24,0.4800000000000767,0.6332843326083711
25,0.5000000000000799,-21.291995900724903
26,0.5200000000000831,-19.655019941506854
27,0.5400000000000863,-21.069943592762133
28,0.5600000000000895,-19.929773613650028
29,0.5800000000000927,-20.88403407518086
30,0.6000000000000959,19.841023509791196
31,0.6200000000000991,-20.749034557077128
32,0.6400000000001023,-40.3407884249461
33,0.6600000000001055,19.341990677192992
34,0.6800000000001087,-0.48367257489772075
35,0.7000000000001119,-20.605390961058884
36,0.7200000000001151,-20.58520669377546
37,0.7400000000001182,-20.601863898537864
38,0.7600000000001215,-0.6264368352385495
39,0.7800000000001247,-0.6698756944085318
40,0.8000000000001278,-40.58529526789166
41,0.8200000000001311,-80.82429482075648
42,0.8400000000001343,39.5422318999074
43,0.8600000000001374,-1.0537707773810798
44,0.8800000000001407,-20.270293905076525
45,0.9000000000001438,38.68300098703508
46,0.920000000000147,-20.074095843983017
47,0.9400000000001504,58.44312124513284
48,0.9600000000001534,60.07519699095545
49,0.9800000000001566,-1.724049545288756
50,1.0000000000001599,-19.859048412303018
51,1.020000000000163,-41.79717872778394
52,1.0400000000001661,-19.8796491289297
53,1.0600000000001695,58.20923384489379
54,1.0800000000001726,0.04441187222166995
55,1.1000000000001757,18.25266593237709
56,1.120000000000179,-0.03706147138252949
57,1.1400000000001822,-1.7163759567337207
58,1.1600000000001853,59.91933923322943
59,1.1800000000001887,-1.7275933821848337
60,1.2000000000001918,-0.07459661451107719
61,1.220000000000195,-1.7706842018694133
62,1.2400000000001983,-0.05053091183617626
63,1.2600000000002014,38.20539496708915
64,1.2800000000002045,-20.07179034248293
65,1.3000000000002079,-21.73155142028117
66,1.320000000000211,-40.19954363713059
67,1.3400000000002141,18.463599066940702
68,1.3600000000002175,19.546666290364772
69,1.3800000000002206,-1.2201061578658545
70,1.4000000000002237,-40.78935443228904
71,1.4200000000002269,39.14431121321355
72,1.4400000000002302,38.88805776793567
73,1.4600000000002333,-20.55022189404574
74,1.4800000000002365,38.685454751925725
75,1.5000000000002398,-40.39656392630245
76,1.520000000000243,38.671518951662904
77,1.540000000000246,-0.43098013254224793
78,1.5600000000002494,-21.153092341323028
79,1.5800000000002525,39.380828708476145
80,1.6000000000002557,39.148013597567235
81,1.620000000000259,-0.8767960577194268
82,1.6400000000002621,-20.518979223758674
83,1.6600000000002653,-1.1121483807998984
84,1.6800000000002686,-0.2326596139234353
85,1.7000000000002717,58.73166410807054
86,1.7200000000002749,19.977098776474346
87,1.7400000000002782,-21.343858632818588
88,1.7600000000002813,0.13427322105646033
89,1.7800000000002845,38.618240558792735
90,1.8000000000002876,-39.708583443563924
91,1.820000000000291,-21.43347886060374
92,1.840000000000294,60.48784145797309
93,1.8600000000002974,-21.517596693307862
94,1.8800000000003008,-19.284662139595035
95,1.900000000000304,-41.59815309563397
96,1.9200000000003068,-19.087023826172874
97,1.9400000000003101,78.40270286923156
98,1.9600000000003133,-19.00391875239566
99,1.9800000000003164,38.56369106493049
100,2.0000000000003197,0.9029389754363375
101,2.020000000000323,38.9193823602396
102,2.040000000000326,0.6310554128937944
103,2.060000000000329,-20.5617679953868
104,2.0800000000003322,20.241773008773354
105,2.100000000000336,0.03548799210598847
106,2.120000000000339,-20.167584089923036
107,2.140000000000342,-19.388682122929065
108,2.160000000000345,19.493722602241466
109,2.1800000000003483,-18.90811898198155
110,2.2000000000003515,-20.724571119067374
111,2.220000000000355,-18.54666432407031
112,2.240000000000358,19.17476624420309
113,2.2600000000003613,1.7203986841474672
114,2.2800000000003644,19.14985499802568
115,2.3000000000003675,-38.056853149993366
116,2.3200000000003707,-20.850290091290766
117,2.3400000000003742,42.16382503279041
118,2.3600000000003774,-20.853354463219645
119,2.3800000000003805,-37.610717169300884
120,2.4000000000003836,-20.844729845674536
121,2.4200000000003867,-17.41650247568015
122,2.44000000000039,39.226815321301835
123,2.460000000000393,-37.31370208612433
124,2.4800000000003966,-40.58056847069935
125,2.5000000000003997,-37.34988487209362
126,2.520000000000403,39.759756674515856
127,2.540000000000406,-17.525886226294766
128,2.560000000000409,0.21871348356728865
129,2.580000000000412,2.214237227492921
130,2.6000000000004158,0.7176495958693925
131,2.620000000000419,1.9615410578734858
132,2.640000000000422,-38.837756132261774
133,2.660000000000425,21.80145539966296
134,2.6800000000004283,1.4835282911389829
135,2.7000000000004314,41.77899700546022
136,2.720000000000435,41.661189527393816
137,2.740000000000438,21.8899912536344
138,2.760000000000441,21.717577572654548
139,2.7800000000004443,2.0993209246029947
140,2.8000000000004475,1.691929513548573
