,"('C', '_Time/us')","('C', '_Amplitude/mV')"
0,0.0,-1.9091100622355444
1,0.020000000000003196,-1.9062476664655341
2,0.04000000000000639,-1.9005269841500276
3,0.06000000000000959,-1.891956227910489
4,0.08000000000001278,-1.8805477021198502
5,0.10000000000001598,-1.8663177854524011
6,0.12000000000001917,-1.8492869076582121
7,0.14000000000002238,-1.8294795205911505
8,0.16000000000002557,-1.8069240635344204
9,0.18000000000002878,-1.781652922870958
10,0.20000000000003196,-1.7537023861566008
11,0.22000000000003517,-1.7231125906617148
12,0.24000000000003835,-1.689927466452967
13,0.26000000000004153,-1.6541946740984192
14,0.28000000000004477,-1.6159655370807908
15,0.30000000000004795,-1.5752949690184115
16,0.32000000000005113,-1.5322413957950307
17,0.34000000000005437,-1.486866672708639
18,0.36000000000005755,-1.4392359967595483
19,0.38000000000006073,-1.3894178141977085
20,0.4000000000000639,-1.3374837234654318
21,0.42000000000006715,-1.283508373669067
22,0.44000000000007033,-1.2275693587265926
23,0.4600000000000735,-1.1697471073382428
24,0.4800000000000767,-1.1101247689402232
25,0.5000000000000799,-1.048788095798344
26,0.5200000000000831,-0.9858253214139672
27,0.5400000000000863,-0.9213270354097752
28,0.5600000000000895,-0.8553860550765918
29,0.5800000000000927,-0.7880972937606862
30,0.6000000000000959,-0.7195576262798982
31,0.6200000000000991,-0.649865751557959
32,0.6400000000001023,-0.5791220526724029
33,0.6600000000001055,-0.5074284545145239
34,0.6800000000001087,-0.4348882792622981
35,0.7000000000001119,-0.36160609987132275
36,0.7200000000001151,-0.2876875917922513
37,0.7400000000001182,-0.21323938312163015
38,0.7600000000001215,-0.13836890340327634
39,0.7800000000001247,-0.0631842312890327
40,0.8000000000001278,0.012206058722131955
41,0.8200000000001311,0.08769305025088713
42,0.8400000000001343,0.16316763949220958
43,0.8600000000001374,0.23852068993949904
44,0.8800000000001407,0.3136431871599244
45,0.9000000000001438,0.38842639340032326
46,0.920000000000147,0.46276200180770527
47,0.9400000000001504,0.5365422900431803
48,0.9600000000001534,0.609660273076287
49,0.9800000000001566,0.6820098549393216
50,1.0000000000001599,0.7534859792313713
51,1.020000000000163,0.8239847781563142
52,1.0400000000001661,0.8934037198868624
53,1.0600000000001695,0.9616417540450333
54,1.0800000000001726,1.0285994550945434
55,1.1000000000001757,1.0941791634426294
56,1.120000000000179,1.1582851240528342
57,1.1400000000001822,1.2208236223720799
58,1.1600000000001853,1.281703117381682
59,1.1800000000001887,1.3408343715854651
60,1.2000000000001918,1.3981305777495387
61,1.220000000000195,1.453507482218119
62,1.2400000000001983,1.5068835046296976
63,1.2600000000002014,1.5581798538674392
64,1.2800000000002045,1.6073206400779982
65,1.3000000000002079,1.654232982604309
66,1.320000000000211,1.6988471136790184
67,1.3400000000002141,1.7410964777330404
68,1.3600000000002175,1.7809178261819916
69,1.3800000000002206,1.818251307554108
70,1.4000000000002237,1.853040552837886
71,1.4200000000002269,1.885232755925236
72,1.4400000000002302,1.914778749043251
73,1.4600000000002333,1.9416330730631344
74,1.4800000000002365,1.9657540425939342
75,1.5000000000002398,1.9871038057668262
76,1.520000000000243,2.005648398628214
77,1.540000000000246,2.021357794065792
78,1.5600000000002494,2.0342059452005694
79,1.5800000000002525,2.0441708231840696
80,1.6000000000002557,2.0512344493497108
81,1.620000000000259,2.055382921673339
82,1.6400000000002621,2.0566064355077835
83,1.6600000000002653,2.054899298564109
84,1.6800000000002686,2.0502599401178085
85,1.7000000000002717,2.0426909144313155
86,1.7200000000002749,2.0321988983873824
87,1.7400000000002782,2.018794683337917
88,1.7600000000002813,2.0024931611837267
89,1.7800000000002845,1.9833133047031426
90,1.8000000000002876,1.9612781421603103
91,1.820000000000291,1.9364147262312355
92,1.840000000000294,1.9087540972903807
93,1.8600000000002974,1.8783312411131385
94,1.8800000000003008,1.8451850410542228
95,1.900000000000304,1.8093582247705382
96,1.9200000000003068,1.7708973055658583
97,1.9400000000003101,1.729852518439434
98,1.9600000000003133,1.6862777509325781
99,1.9800000000003164,1.6402304688686453
100,2.0000000000003197,1.5917716370951747
101,2.020000000000323,1.5409656353383934
102,2.040000000000326,1.487880169291845
103,2.060000000000329,1.432586177062883
104,2.0800000000003322,1.3751577311127197
105,2.100000000000336,1.31567193582535
106,2.120000000000339,1.254208820854059
107,2.140000000000342,1.1908512303931564
108,2.160000000000345,1.1256847085334356
109,2.1800000000003483,1.058797380862935
110,2.2000000000003515,0.9902798324786128
111,2.220000000000355,0.920224982583222
112,2.240000000000358,0.8487279558431348
113,2.2600000000003613,0.7758859506860603
114,2.2800000000003644,0.7017981047292539
115,2.3000000000003675,0.62656535752236
116,2.3200000000003707,0.550290310799676
117,2.3400000000003742,0.4730770864395254
118,2.3600000000003774,0.3950311823276641
119,2.3800000000003805,0.3162593263286756
120,2.4000000000003836,0.23686932856994974
121,2.4200000000003867,0.15696993224413663
122,2.44000000000039,0.07667066314063493
123,2.460000000000393,-0.003918321885759822
124,2.4800000000003966,-0.08468638729309988
125,2.5000000000003997,-0.1655225718702291
126,2.520000000000403,-0.24631574217437913
127,2.540000000000406,-0.32695474617891496
128,2.560000000000409,-0.40732856691554653
129,2.580000000000412,-0.4873264758953142
130,2.6000000000004158,-0.5668381860976132
131,2.620000000000419,-0.645754004311236
132,2.640000000000422,-0.7239649826178819
133,2.660000000000425,-0.8013630688070299
134,2.6800000000004283,-0.8778412555116554
135,2.7000000000004314,-0.953293727861261
136,2.720000000000435,-1.0276160094435196
137,2.740000000000438,-1.1007051063757671
138,2.760000000000441,-1.1724596492851325
