,"('B', '_Time/us')","('B', '_Amplitude/mV')"
0,0.0,-4.551463560486716
1,0.020000000000003196,-4.551175504782848
2,0.04000000000000639,-4.550599531208936
3,0.06000000000000959,-4.549735915344635
4,0.08000000000001278,-4.5485850703391755
5,0.10000000000001598,-4.547147546647283
6,0.12000000000001917,-4.545424031677275
7,0.14000000000002238,-4.543415349351654
8,0.16000000000002557,-4.541122459580057
9,0.18000000000002878,-4.538546457645712
10,0.20000000000003196,-4.535688573504391
11,0.22000000000003517,-4.532550170998051
12,0.24000000000003835,-4.529132746981816
13,0.26000000000004153,-4.525437930365792
14,0.28000000000004477,-4.521467481072942
15,0.30000000000004795,-4.517223288911336
16,0.32000000000005113,-4.512707372363923
17,0.34000000000005437,-4.50792187729496
18,0.36000000000005755,-4.502869075574884
19,0.38000000000006073,-4.497551363622998
20,0.4000000000000639,-4.491971260870654
21,0.42000000000006715,-4.486131408143844
22,0.44000000000007033,-4.480034565968406
23,0.4600000000000735,-4.473683612795881
24,0.4800000000000767,-4.467081543154275
25,0.5000000000000799,-4.460231465722144
26,0.5200000000000831,-4.453136601328891
27,0.5400000000000863,-4.4458002808813015
28,0.5600000000000895,-4.438225943217741
29,0.5800000000000927,-4.43041713289199
30,0.6000000000000959,-4.4223774978871635
31,0.6200000000000991,-4.414110787261227
32,0.6400000000001023,-4.405620848725627
33,0.6600000000001055,-4.396911626158269
34,0.6800000000001087,-4.387987157052546
35,0.7000000000001119,-4.37885156990357
36,0.7200000000001151,-4.3695090815329065
37,0.7400000000001182,-4.359963994354664
38,0.7600000000001215,-4.350220693582356
39,0.7800000000001247,-4.340283644380211
40,0.8000000000001278,-4.330157388959537
41,0.8200000000001311,-4.319846543621411
42,0.8400000000001343,-4.309355795748978
43,0.8600000000001374,-4.298689900749171
44,0.8800000000001407,-4.287853678947195
45,0.9000000000001438,-4.276852012434686
46,0.920000000000147,-4.26568984187382
47,0.9400000000001504,-4.254372163258504
48,0.9600000000001534,-4.242904024636165
49,0.9800000000001566,-4.231290522789439
50,1.0000000000001599,-4.219536799882595
51,1.020000000000163,-4.207648040072559
52,1.0400000000001661,-4.195629466086937
53,1.0600000000001695,-4.18348633577228
54,1.0800000000001726,-4.171223938612595
55,1.1000000000001757,-4.158847592221586
56,1.120000000000179,-4.146362638810516
57,1.1400000000001822,-4.133774441633
58,1.1600000000001853,-4.121088381409419
59,1.1800000000001887,-4.108309852733321
60,1.2000000000001918,-4.0954442604611
61,1.220000000000195,-4.082497016087415
62,1.2400000000001983,-4.069473534109141
63,1.2600000000002014,-4.0563792283787
64,1.2800000000002045,-4.043219508450322
65,1.3000000000002079,-4.029999775920101
66,1.320000000000211,-4.016725420762767
67,1.3400000000002141,-4.003401817667455
68,1.3600000000002175,-3.9900343223739685
69,1.3800000000002206,-3.9766282680121554
70,1.4000000000002237,-3.9631889614470994
71,1.4200000000002269,-3.949721679630527
72,1.4400000000002302,-3.9362316659628163
73,1.4600000000002333,-3.9227241266660813
74,1.4800000000002365,-3.909204227171831
75,1.5000000000002398,-3.8956770885234424
76,1.520000000000243,-3.8821477837984903
77,1.540000000000246,-3.8686213345495686
78,1.5600000000002494,-3.855102707269108
79,1.5800000000002525,-3.84159680987779
80,1.6000000000002557,-3.828108488240364
81,1.620000000000259,-3.814642522709263
82,1.6400000000002621,-3.801203624700374
83,1.6600000000002653,-3.787796433300506
84,1.6800000000002686,-3.7744255119108048
85,1.7000000000002717,-3.7610953449265248
86,1.7200000000002749,-3.747810334456489
87,1.7400000000002782,-3.7345747970829515
88,1.7600000000002813,-3.721392960664975
89,1.7800000000002845,-3.7082689611865156
90,1.8000000000002876,-3.6952068396516466
91,1.820000000000291,-3.682210539028366
92,1.840000000000294,-3.669283901243508
93,1.8600000000002974,-3.65643066422983
94,1.8800000000003008,-3.643654459027863
95,1.900000000000304,-3.6309588069435854
96,1.9200000000003068,-3.6183471167644616
97,1.9400000000003101,-3.605822682035177
98,1.9600000000003133,-3.5933886783948465
99,1.9800000000003164,-3.581048160977068
100,2.0000000000003197,-3.5688040618750216
101,2.020000000000323,-3.556659187673031
102,2.040000000000326,-3.5446162170461033
103,2.060000000000329,-3.532677698428712
104,2.0800000000003322,-3.5208460477549965
105,2.100000000000336,-3.509123546271231
106,2.120000000000339,-3.4975123384224776
107,2.140000000000342,-3.486014429814467
108,2.160000000000345,-3.4746316852515737
109,2.1800000000003483,-3.4633658268542913
110,2.2000000000003515,-3.45221843225398
111,2.220000000000355,-3.4411909328697114
112,2.240000000000358,-3.4302846122663553
113,2.2600000000003613,-3.4195006045947363
114,2.2800000000003644,-3.4088398931169515
115,2.3000000000003675,-3.398303308815286
116,2.3200000000003707,-3.3878915290883005
117,2.3400000000003742,-3.3776050765329213
118,2.3600000000003774,-3.367444317815032
119,2.3800000000003805,-3.3574094626278264
120,2.4000000000003836,-3.3475005627407306
121,2.4200000000003867,-3.3377175111377975
122,2.44000000000039,-3.3280600412470793
123,2.460000000000393,-3.318527726262354
124,2.4800000000003966,-3.3091199785557497
125,2.5000000000003997,-3.299836049184565
126,2.520000000000403,-3.290675027490352
127,2.540000000000406,-3.281635840792068
128,2.560000000000409,-3.272717254173818
129,2.580000000000412,-3.263917870366036
130,2.6000000000004158,-3.255236129722719
131,2.620000000000419,-3.2466703102926022
132,2.640000000000422,-3.2382185279864824
133,2.660000000000425,-3.229878736838917
134,2.6800000000004283,-3.2216487293664837
135,2.7000000000004314,-3.2135261370206885
136,2.720000000000435,-3.2055084307368085
137,2.740000000000438,-3.197592921577777
