,"('A', '_Time/us')","('A', '_Amplitude/mV')"
0,0.0,9.761226506072902
1,0.020000000000003196,9.76125614504491
2,0.04000000000000639,9.761315415616435
3,0.06000000000000959,9.761404303043285
4,0.08000000000001278,9.761522785211099
5,0.10000000000001598,9.76167083263783
6,0.12000000000001917,9.761848408476839
7,0.14000000000002238,9.762055468521075
8,0.16000000000002557,9.762291961207616
9,0.18000000000002878,9.762557827623523
10,0.20000000000003196,9.762853001511894
11,0.22000000000003517,9.76317740927941
12,0.24000000000003835,9.763530970003911
13,0.26000000000004153,9.763913595443658
14,0.28000000000004477,9.764325190046367
15,0.30000000000004795,9.764765650959967
16,0.32000000000005113,9.765234868043551
17,0.34000000000005437,9.7657327238793
18,0.36000000000005755,9.76625909378541
19,0.38000000000006073,9.766813845829384
20,0.4000000000000639,9.767396840842348
21,0.42000000000006715,9.768007932434456
22,0.44000000000007033,9.768646967010376
23,0.4600000000000735,9.769313783786176
24,0.4800000000000767,9.770008214806664
25,0.5000000000000799,9.770730084963864
26,0.5200000000000831,9.771479212015578
27,0.5400000000000863,9.77225540660559
28,0.5600000000000895,9.773058472284022
29,0.5800000000000927,9.773888205528827
30,0.6000000000000959,9.77474439576763
31,0.6200000000000991,9.775626825400938
32,0.6400000000001023,9.776535269825535
33,0.6600000000001055,9.777469497459073
34,0.6800000000001087,9.778429269765214
35,0.7000000000001119,9.779414341279498
36,0.7200000000001151,9.780424459636128
37,0.7400000000001182,9.781459365595467
38,0.7600000000001215,9.7825187930722
39,0.7800000000001247,9.783602469164377
40,0.8000000000001278,9.784710114183097
41,0.8200000000001311,9.785841441682962
42,0.8400000000001343,9.786996158493377
43,0.8600000000001374,9.788173964750609
44,0.8800000000001407,9.789374553930122
45,0.9000000000001438,9.790597612880541
46,0.920000000000147,9.79184282185751
47,0.9400000000001504,9.793109854558633
48,0.9600000000001534,9.794398378159261
49,0.9800000000001566,9.795708053348786
50,1.0000000000001599,9.797038534367717
51,1.020000000000163,9.798389469045581
52,1.0400000000001661,9.799760498839381
53,1.0600000000001695,9.801151258872908
54,1.0800000000001726,9.802561377976629
55,1.1000000000001757,9.803990478728528
56,1.120000000000179,9.805438177495285
57,1.1400000000001822,9.806904084474478
58,1.1600000000001853,9.80838780373725
59,1.1800000000001887,9.8098889332719
60,1.2000000000001918,9.811407065028027
61,1.220000000000195,9.812941784961225
62,1.2400000000001983,9.814492673078702
63,1.2600000000002014,9.816059303485641
64,1.2800000000002045,9.817641244431817
65,1.3000000000002079,9.819238058359295
66,1.320000000000211,9.8208493019506
67,1.3400000000002141,9.822474526177604
68,1.3600000000002175,9.82411327635105
69,1.3800000000002206,9.825765092170823
70,1.4000000000002237,9.827429507776596
71,1.4200000000002269,9.829106051799593
72,1.4400000000002302,9.83079424741442
73,1.4600000000002333,9.832493612392074
74,1.4800000000002365,9.834203659153216
75,1.5000000000002398,9.835923894822164
76,1.520000000000243,9.837653821281643
77,1.540000000000246,9.839392935227977
78,1.5600000000002494,9.841140728226957
79,1.5800000000002525,9.842896686770432
80,1.6000000000002557,9.844660292333208
81,1.620000000000259,9.846431021431007
82,1.6400000000002621,9.84820834567848
83,1.6600000000002653,9.849991731848247
84,1.6800000000002686,9.851780641930338
85,1.7000000000002717,9.853574533192155
86,1.7200000000002749,9.855372858239186
87,1.7400000000002782,9.857175065076097
88,1.7600000000002813,9.858980597168555
89,1.7800000000002845,9.860788893505518
90,1.8000000000002876,9.86259938866204
91,1.820000000000291,9.864411512862716
92,1.840000000000294,9.866224692045593
93,1.8600000000002974,9.868038347926756
94,1.8800000000003008,9.869851898065269
95,1.900000000000304,9.871664755928732
96,1.9200000000003068,9.87347633095931
97,1.9400000000003101,9.8752860286404
98,1.9600000000003133,9.877093250563618
99,1.9800000000003164,9.87889739449646
100,2.0000000000003197,9.880697854450396
101,2.020000000000323,9.882494020749455
102,2.040000000000326,9.884285280099165
103,2.060000000000329,9.88607101565629
104,2.0800000000003322,9.887850607098702
105,2.100000000000336,9.889623430696094
106,2.120000000000339,9.891388859380525
107,2.140000000000342,9.893146262818343
108,2.160000000000345,9.894895007481566
109,2.1800000000003483,9.896634456720523
110,2.2000000000003515,9.898363970836362
111,2.220000000000355,9.900082907154408
112,2.240000000000358,9.901790620097685
113,2.2600000000003613,9.903486461260862
114,2.2800000000003644,9.905169779484753
115,2.3000000000003675,9.906839920931214
116,2.3200000000003707,9.90849622915816
117,2.3400000000003742,9.910138045195422
118,2.3600000000003774,9.911764707620668
119,2.3800000000003805,9.913375552635742
120,2.4000000000003836,9.91496991414342
121,2.4200000000003867,9.916547123824758
122,2.44000000000039,9.918106511216328
123,2.460000000000393,9.919647403788122
124,2.4800000000003966,9.921169127021818
125,2.5000000000003997,9.922671004489303
126,2.520000000000403,9.924152357931433
127,2.540000000000406,9.9256125073374
128,2.560000000000409,9.927050771023964
129,2.580000000000412,9.92846646571556
130,2.6000000000004158,9.929858906624322
131,2.620000000000419,9.931227407530502
132,2.640000000000422,9.932571280863124
133,2.660000000000425,9.933889837781058
134,2.6800000000004283,9.935182388254363
135,2.7000000000004314,9.936448241145664
136,2.720000000000435,9.937686704292144
137,2.740000000000438,9.93889708458745
138,2.760000000000441,9.94007868806416
139,2.7800000000004443,9.941230819976292
140,2.8000000000004475,9.942352784881981
141,2.8200000000004506,9.94344388672678
142,2.8400000000004537,9.94450342892663
143,2.8600000000004573,9.945530714451374
144,2.8800000000004604,9.94652504590857
145,2.9000000000004635,9.947485725627168
146,2.9200000000004667,9.948412055741667
